datetime,wei,items,forsale
7/11/22 20:00,0,0,0
7/11/22 21:00,106711207589391000000,EX,EX
7/11/22 22:00,213422415178781000000,EX,EX
7/11/22 23:00,320133622768172000000,EX,EX
7/12/22 0:00,426844830357562000000,EX,EX
7/12/22 1:00,533556037946953000000,EX,EX
7/12/22 2:00,640267245536343000000,EX,EX
7/12/22 3:00,746978453125734000000,Legacy,Legacy
7/12/22 4:00,853586341269851000000,EX,EX
7/12/22 5:12,960194229413969000000,Legacy,Legacy
7/12/22 6:00,1027349815836680000000,EX,EX
7/12/22 7:00,1094505402259380000000,EX,EX
7/12/22 8:00,1161660988682090000000,EX,EX
7/12/22 9:00,1228816575104800000000,EX,EX
7/12/22 10:00,1295972161527510000000,EX,EX
7/12/22 11:00,1363127747950220000000,EX,EX
7/12/22 12:00,1430283334372920000000,EX,EX
7/12/22 13:00,1497438920795630000000,EX,EX
7/12/22 14:00,1564594507218340000000,Legacy,Legacy
7/12/22 15:00,1611924378872960000000,EX,EX
7/12/22 16:00,1659254250527580000000,EX,EX
7/12/22 17:00,1706584122182200000000,EX,EX
7/12/22 18:00,1753913993836830000000,EX,EX
7/12/22 19:00,1801243865491450000000,EX,EX
7/12/22 20:00,1848573737146070000000,EX,EX
7/12/22 21:03,1895903608800690000000,Legacy,Legacy
7/12/22 22:00,1942058061031120000000,EX,EX
7/12/22 23:00,1988212513261550000000,EX,EX
7/13/22 0:00,2034366965491980000000,EX,EX
7/13/22 1:00,2080521417722410000000,EX,EX
7/13/22 2:00,2126675869952840000000,EX,EX
7/13/22 3:00,2172830322183270000000,EX,EX
7/13/22 4:00,2218984774413700000000,EX,EX
7/13/22 5:00,2265139226644130000000,EX,EX
7/13/22 6:00,2311293678874550000000,EX,EX
7/13/22 7:00,2357448131104980000000,EX,EX
7/13/22 8:00,2403602583335410000000,EX,EX
7/13/22 9:00,2449757035565840000000,EX,EX
7/13/22 10:00,2495911487796270000000,EX,EX
7/13/22 11:00,2542065940026700000000,EX,EX
7/13/22 12:00,2588220392257130000000,EX,EX
7/13/22 13:12,2634374844487560000000,Legacy,Legacy
7/13/22 14:00,2699629890874950000000,EX,EX
7/13/22 15:00,2764884937262340000000,EX,EX
7/13/22 16:00,2830139983649730000000,EX,EX
7/13/22 17:00,2895395030037130000000,EX,EX
